year,state,population
1928,New Hampshire,468000
1929,New Hampshire,467000
1930,New Hampshire,466000
1931,New Hampshire,470000
1932,New Hampshire,474000
1933,New Hampshire,477000
1934,New Hampshire,480000
1935,New Hampshire,481000
1936,New Hampshire,481000
1937,New Hampshire,481000
1938,New Hampshire,485000
1939,New Hampshire,490000
1940,New Hampshire,492000
1941,New Hampshire,490000
1942,New Hampshire,481000
1943,New Hampshire,462000
1944,New Hampshire,456000
1945,New Hampshire,459000
1946,New Hampshire,494000
1947,New Hampshire,507000
1948,New Hampshire,520000
1949,New Hampshire,533000
1950,New Hampshire,532000
1951,New Hampshire,529000
1952,New Hampshire,535000
1953,New Hampshire,547000
1954,New Hampshire,554000
1955,New Hampshire,557000
1956,New Hampshire,566000
1957,New Hampshire,572000
1958,New Hampshire,581000
1959,New Hampshire,596000
1960,New Hampshire,609000
1961,New Hampshire,618000
1962,New Hampshire,632000
1963,New Hampshire,649000
1964,New Hampshire,663000
1965,New Hampshire,676000
1966,New Hampshire,681000
1967,New Hampshire,697000
1968,New Hampshire,709000
1969,New Hampshire,724000
1970,New Hampshire,737681
1971,New Hampshire,761851
1972,New Hampshire,781107
1973,New Hampshire,800951
1974,New Hampshire,815914
1975,New Hampshire,828555
1976,New Hampshire,845248
1977,New Hampshire,869763
1978,New Hampshire,891520
1979,New Hampshire,909074
1980,New Hampshire,924250
1981,New Hampshire,936621
1982,New Hampshire,947719
1983,New Hampshire,958134
1984,New Hampshire,976864
1985,New Hampshire,996753
1986,New Hampshire,1025053
1987,New Hampshire,1054289
1988,New Hampshire,1082577
1989,New Hampshire,1104522
1990,New Hampshire,1111831
1991,New Hampshire,1107055
1992,New Hampshire,1112766
1993,New Hampshire,1122191
1994,New Hampshire,1133054
1995,New Hampshire,1145604
1996,New Hampshire,1160768
1997,New Hampshire,1173239
1998,New Hampshire,1185823
1999,New Hampshire,1201134
2000,New Hampshire,1239882
2001,New Hampshire,1255517
2002,New Hampshire,1269089
2003,New Hampshire,1279840
2004,New Hampshire,1290121
2005,New Hampshire,1298492
2006,New Hampshire,1308389
2007,New Hampshire,1312540
2008,New Hampshire,1315906
2009,New Hampshire,1316102
2010,New Hampshire,1316762
2011,New Hampshire,1320202
2012,New Hampshire,1324232
2013,New Hampshire,1326622
2014,New Hampshire,1333341
2015,New Hampshire,1336350
2016,New Hampshire,1342307
2017,New Hampshire,1348787
2018,New Hampshire,1353465
2019,New Hampshire,1359711
1900,New Jersey,1884000
1901,New Jersey,1889000
1902,New Jersey,1917000
1903,New Jersey,1969000
1904,New Jersey,2050000
1905,New Jersey,2151000
1906,New Jersey,2239000
1907,New Jersey,2314000
1908,New Jersey,2403000
1909,New Jersey,2487000
1910,New Jersey,2550000
1911,New Jersey,2610000
1912,New Jersey,2670000
1913,New Jersey,2729000
1914,New Jersey,2789000
1915,New Jersey,2850000
1916,New Jersey,2918000
1917,New Jersey,2976000
1918,New Jersey,3043000
1919,New Jersey,3136000
1920,New Jersey,3198000
1921,New Jersey,3297000
1922,New Jersey,3380000
1923,New Jersey,3472000
1924,New Jersey,3573000
1925,New Jersey,3664000
1926,New Jersey,3758000
1927,New Jersey,3891000
1928,New Jersey,3968000
1929,New Jersey,3989000
1930,New Jersey,4068000
1931,New Jersey,4120000
1932,New Jersey,4120000
1933,New Jersey,4107000
1934,New Jersey,4089000
1935,New Jersey,4085000
1936,New Jersey,4084000
1937,New Jersey,4088000
1938,New Jersey,4100000
1939,New Jersey,4129000
1940,New Jersey,4175000
1941,New Jersey,4254000
1942,New Jersey,4297000
1943,New Jersey,4226000
1944,New Jersey,4158000
1945,New Jersey,4108000
1946,New Jersey,4492000
1947,New Jersey,4618000
1948,New Jersey,4774000
1949,New Jersey,4889000
1950,New Jersey,4872000
1951,New Jersey,5006000
1952,New Jersey,5125000
1953,New Jersey,5229000
1954,New Jersey,5360000
1955,New Jersey,5502000
1956,New Jersey,5615000
1957,New Jersey,5737000
1958,New Jersey,5890000
1959,New Jersey,6015000
1960,New Jersey,6103000
1961,New Jersey,6265000
1962,New Jersey,6376000
1963,New Jersey,6531000
1964,New Jersey,6660000
1965,New Jersey,6767000
1966,New Jersey,6851000
1967,New Jersey,6928000
1968,New Jersey,7005000
1969,New Jersey,7095000
1970,New Jersey,7171112
1971,New Jersey,7281107
1972,New Jersey,7335042
1973,New Jersey,7333083
1974,New Jersey,7332411
1975,New Jersey,7337765
1976,New Jersey,7339745
1977,New Jersey,7337169
1978,New Jersey,7350804
1979,New Jersey,7366512
1980,New Jersey,7376330
1981,New Jersey,7407472
1982,New Jersey,7430968
1983,New Jersey,7467785
1984,New Jersey,7515473
1985,New Jersey,7565528
1986,New Jersey,7622159
1987,New Jersey,7670742
1988,New Jersey,7712333
1989,New Jersey,7726089
1990,New Jersey,7757158
1991,New Jersey,7784269
1992,New Jersey,7827770
1993,New Jersey,7874891
1994,New Jersey,7918796
1995,New Jersey,7965523
1996,New Jersey,8009624
1997,New Jersey,8054178
1998,New Jersey,8095542
1999,New Jersey,8143412
2000,New Jersey,8430621
2001,New Jersey,8492671
2002,New Jersey,8552643
2003,New Jersey,8601402
2004,New Jersey,8634561
2005,New Jersey,8651974
2006,New Jersey,8661679
2007,New Jersey,8677885
2008,New Jersey,8711090
2009,New Jersey,8755602
2010,New Jersey,8799446
2011,New Jersey,8828117
2012,New Jersey,8844942
2013,New Jersey,8856972
2014,New Jersey,8864525
2015,New Jersey,8867949
2016,New Jersey,8870827
2017,New Jersey,8885525
2018,New Jersey,8886025
2019,New Jersey,8882190
1900,New Mexico,196000
1901,New Mexico,206000
1902,New Mexico,218000
1903,New Mexico,229000
1904,New Mexico,242000
1905,New Mexico,255000
1906,New Mexico,269000
1907,New Mexico,283000
1908,New Mexico,298000
1909,New Mexico,314000
1910,New Mexico,329000
1911,New Mexico,334000
1912,New Mexico,338000
1913,New Mexico,344000
1914,New Mexico,348000
1915,New Mexico,351000
1916,New Mexico,354000
1917,New Mexico,361000
1918,New Mexico,382000
1919,New Mexico,362000
1920,New Mexico,363000
1921,New Mexico,370000
1922,New Mexico,375000
1923,New Mexico,382000
1924,New Mexico,390000
1925,New Mexico,396000
1926,New Mexico,403000
1927,New Mexico,410000
1928,New Mexico,416000
1929,New Mexico,420000
1930,New Mexico,427000
1931,New Mexico,436000
1932,New Mexico,441000
1933,New Mexico,449000
1934,New Mexico,461000
1935,New Mexico,475000
1936,New Mexico,489000
1937,New Mexico,503000
1938,New Mexico,513000
1939,New Mexico,523000
1940,New Mexico,531000
1941,New Mexico,506000
1942,New Mexico,502000
1943,New Mexico,534000
1944,New Mexico,527000
1945,New Mexico,537000
1946,New Mexico,561000
1947,New Mexico,582000
1948,New Mexico,604000
1949,New Mexico,644000
1950,New Mexico,689000
1951,New Mexico,717000
1952,New Mexico,735000
1953,New Mexico,756000
1954,New Mexico,763000
1955,New Mexico,785000
1956,New Mexico,806000
1957,New Mexico,847000
1958,New Mexico,886000
1959,New Mexico,919000
1960,New Mexico,954000
1961,New Mexico,965000
1962,New Mexico,979000
1963,New Mexico,989000
1964,New Mexico,1006000
1965,New Mexico,1012000
1966,New Mexico,1007000
1967,New Mexico,1000000
1968,New Mexico,994000
1969,New Mexico,1011000
1970,New Mexico,1017055
1971,New Mexico,1053737
1972,New Mexico,1078697
1973,New Mexico,1105529
1974,New Mexico,1131309
1975,New Mexico,1159944
1976,New Mexico,1189295
1977,New Mexico,1215720
1978,New Mexico,1238034
1979,New Mexico,1284722
1980,New Mexico,1309400
1981,New Mexico,1332748
1982,New Mexico,1363823
1983,New Mexico,1394361
1984,New Mexico,1416717
1985,New Mexico,1438361
1986,New Mexico,1462729
1987,New Mexico,1478520
1988,New Mexico,1490337
1989,New Mexico,1503901
1990,New Mexico,1519933
1991,New Mexico,1547115
1992,New Mexico,1580750
1993,New Mexico,1614937
1994,New Mexico,1653329
1995,New Mexico,1682417
1996,New Mexico,1706151
1997,New Mexico,1722939
1998,New Mexico,1733535
1999,New Mexico,1739844
2000,New Mexico,1821204
2001,New Mexico,1831690
2002,New Mexico,1855309
2003,New Mexico,1877574
2004,New Mexico,1903808
2005,New Mexico,1932274
2006,New Mexico,1962137
2007,New Mexico,1990070
2008,New Mexico,2010662
2009,New Mexico,2036802
2010,New Mexico,2064552
2011,New Mexico,2080450
2012,New Mexico,2087309
2013,New Mexico,2092273
2014,New Mexico,2089568
2015,New Mexico,2089291
2016,New Mexico,2091630
2017,New Mexico,2091784
2018,New Mexico,2092741
2019,New Mexico,2096829
1900,Nevada,43000
1901,Nevada,45000
1902,Nevada,49000
1903,Nevada,52000
1904,Nevada,56000
1905,Nevada,59000
1906,Nevada,64000
1907,Nevada,68000
1908,Nevada,73000
1909,Nevada,78000
1910,Nevada,82000
1911,Nevada,81000
1912,Nevada,81000
1913,Nevada,82000
1914,Nevada,83000
1915,Nevada,82000
1916,Nevada,82000
1917,Nevada,81000
1918,Nevada,77000
1919,Nevada,77000
1920,Nevada,78000
1921,Nevada,80000
1922,Nevada,81000
1923,Nevada,82000
1924,Nevada,84000
1925,Nevada,85000
1926,Nevada,87000
1927,Nevada,88000
1928,Nevada,89000
1929,Nevada,90000
1930,Nevada,92000
1931,Nevada,94000
1932,Nevada,96000
1933,Nevada,96000
1934,Nevada,98000
1935,Nevada,100000
1936,Nevada,101000
1937,Nevada,103000
1938,Nevada,105000
1939,Nevada,107000
1940,Nevada,113000
1941,Nevada,120000
1942,Nevada,137000
1943,Nevada,151000
1944,Nevada,153000
1945,Nevada,149000
1946,Nevada,143000
1947,Nevada,149000
1948,Nevada,156000
1949,Nevada,157000
1950,Nevada,162000
1951,Nevada,168000
1952,Nevada,181000
1953,Nevada,195000
1954,Nevada,213000
1955,Nevada,237000
1956,Nevada,250000
1957,Nevada,260000
1958,Nevada,269000
1959,Nevada,279000
1960,Nevada,291000
1961,Nevada,315000
1962,Nevada,352000
1963,Nevada,397000
1964,Nevada,426000
1965,Nevada,444000
1966,Nevada,446000
1967,Nevada,449000
1968,Nevada,464000
1969,Nevada,480000
1970,Nevada,488738
1971,Nevada,520018
1972,Nevada,546789
1973,Nevada,568991
1974,Nevada,596822
1975,Nevada,619972
1976,Nevada,646975
1977,Nevada,678333
1978,Nevada,719436
1979,Nevada,765367
1980,Nevada,810215
1981,Nevada,847655
1982,Nevada,881537
1983,Nevada,901977
1984,Nevada,924922
1985,Nevada,951030
1986,Nevada,980613
1987,Nevada,1023376
1988,Nevada,1075022
1989,Nevada,1137382
1990,Nevada,1218629
1991,Nevada,1285046
1992,Nevada,1330694
1993,Nevada,1380197
1994,Nevada,1456388
1995,Nevada,1525777
1996,Nevada,1596476
1997,Nevada,1675581
1998,Nevada,1743772
1999,Nevada,1809253
2000,Nevada,2018741
2001,Nevada,2098399
2002,Nevada,2173791
2003,Nevada,2248850
2004,Nevada,2346222
2005,Nevada,2432143
2006,Nevada,2522658
2007,Nevada,2601072
2008,Nevada,2653630
2009,Nevada,2684665
2010,Nevada,2702405
2011,Nevada,2712730
2012,Nevada,2743996
2013,Nevada,2775970
2014,Nevada,2817628
2015,Nevada,2866939
2016,Nevada,2917563
2017,Nevada,2969905
2018,Nevada,3027341
2019,Nevada,3080156
1900,New York,7283000
1901,New York,7449000
1902,New York,7612000
1903,New York,7771000
1904,New York,7927000
1905,New York,8084000
1906,New York,8289000
1907,New York,8499000
1908,New York,8714000
1909,New York,8935000
1910,New York,9137000
1911,New York,9249000
1912,New York,9361000
1913,New York,9473000
1914,New York,9585000
1915,New York,9700000
1916,New York,9848000
1917,New York,9993000
1918,New York,9936000
1919,New York,10252000
1920,New York,10282000
1921,New York,10416000
1922,New York,10589000
1923,New York,10752000
1924,New York,10953000
1925,New York,11186000
1926,New York,11257000
1927,New York,11174000
1928,New York,11599000
1929,New York,12171000
1930,New York,12647000
1931,New York,12848000
1932,New York,13001000
1933,New York,13126000
1934,New York,13253000
1935,New York,13375000
1936,New York,13481000
1937,New York,13511000
1938,New York,13512000
1939,New York,13523000
1940,New York,13456000
1941,New York,13267000
1942,New York,13002000
1943,New York,12807000
1944,New York,12628000
1945,New York,12495000
1946,New York,13398000
1947,New York,13982000
1948,New York,14497000
1949,New York,14892000
1950,New York,14865000
1951,New York,14890000
1952,New York,15192000
1953,New York,15527000
1954,New York,15814000
1955,New York,15966000
1956,New York,16112000
1957,New York,16374000
1958,New York,16601000
1959,New York,16685000
1960,New York,16838000
1961,New York,17061000
1962,New York,17301000
1963,New York,17461000
1964,New York,17589000
1965,New York,17734000
1966,New York,17843000
1967,New York,17935000
1968,New York,18051000
1969,New York,18105000
1970,New York,18241391
1971,New York,18357982
1972,New York,18339400
1973,New York,18177063
1974,New York,18049775
1975,New York,18003485
1976,New York,17940541
1977,New York,17812602
1978,New York,17680589
1979,New York,17583838
1980,New York,17566754
1981,New York,17567734
1982,New York,17589738
1983,New York,17686905
1984,New York,17745684
1985,New York,17791672
1986,New York,17833419
1987,New York,17868848
1988,New York,17941309
1989,New York,17983086
1990,New York,18002855
1991,New York,18029532
1992,New York,18082032
1993,New York,18140894
1994,New York,18156652
1995,New York,18150928
1996,New York,18143805
1997,New York,18143184
1998,New York,18159175
1999,New York,18196601
2000,New York,19001780
2001,New York,19082838
2002,New York,19137800
2003,New York,19175939
2004,New York,19171567
2005,New York,19132610
2006,New York,19104631
2007,New York,19132335
2008,New York,19212436
2009,New York,19307066
2010,New York,19399878
2011,New York,19499241
2012,New York,19572932
2013,New York,19624447
2014,New York,19651049
2015,New York,19654666
2016,New York,19633428
2017,New York,19589572
2018,New York,19530351
2019,New York,19453561
1900,Ohio,4161000
1901,Ohio,4216000
1902,Ohio,4322000
1903,Ohio,4386000
1904,Ohio,4458000
1905,Ohio,4530000
1906,Ohio,4587000
1907,Ohio,4630000
1908,Ohio,4677000
1909,Ohio,4701000
1910,Ohio,4786000
1911,Ohio,4821000
1912,Ohio,4893000
1913,Ohio,4997000
1914,Ohio,5109000
1915,Ohio,5251000
1916,Ohio,5366000
1917,Ohio,5510000
1918,Ohio,5547000
1919,Ohio,5683000
1920,Ohio,5799000
1921,Ohio,5921000
1922,Ohio,6054000
1923,Ohio,6183000
1924,Ohio,6319000
1925,Ohio,6434000
1926,Ohio,6504000
1927,Ohio,6577000
1928,Ohio,6608000
1929,Ohio,6626000
1930,Ohio,6662000
1931,Ohio,6694000
1932,Ohio,6717000
1933,Ohio,6740000
1934,Ohio,6751000
1935,Ohio,6787000
1936,Ohio,6801000
1937,Ohio,6809000
1938,Ohio,6837000
1939,Ohio,6886000
1940,Ohio,6929000
1941,Ohio,6958000
1942,Ohio,6969000
1943,Ohio,6868000
1944,Ohio,6918000
1945,Ohio,6916000
1946,Ohio,7512000
1947,Ohio,7705000
1948,Ohio,7876000
1949,Ohio,7973000
1950,Ohio,7980000
1951,Ohio,8061000
1952,Ohio,8275000
1953,Ohio,8591000
1954,Ohio,8873000
1955,Ohio,9017000
1956,Ohio,9207000
1957,Ohio,9410000
1958,Ohio,9599000
1959,Ohio,9671000
1960,Ohio,9734000
1961,Ohio,9854000
1962,Ohio,9929000
1963,Ohio,9986000
1964,Ohio,10080000
1965,Ohio,10201000
1966,Ohio,10330000
1967,Ohio,10414000
1968,Ohio,10516000
1969,Ohio,10563000
1970,Ohio,10657423
1971,Ohio,10734818
1972,Ohio,10746993
1973,Ohio,10767314
1974,Ohio,10765759
1975,Ohio,10770425
1976,Ohio,10752662
1977,Ohio,10771394
1978,Ohio,10795581
1979,Ohio,10798298
1980,Ohio,10800650
1981,Ohio,10788330
1982,Ohio,10757087
1983,Ohio,10737632
1984,Ohio,10737746
1985,Ohio,10734926
1986,Ohio,10730268
1987,Ohio,10760090
1988,Ohio,10798552
1989,Ohio,10829217
1990,Ohio,10861837
1991,Ohio,10933683
1992,Ohio,11007609
1993,Ohio,11070385
1994,Ohio,11111451
1995,Ohio,11155493
1996,Ohio,11187032
1997,Ohio,11212498
1998,Ohio,11237752
1999,Ohio,11256654
2000,Ohio,11363543
2001,Ohio,11387404
2002,Ohio,11407889
2003,Ohio,11434788
2004,Ohio,11452251
2005,Ohio,11463320
2006,Ohio,11481213
2007,Ohio,11500468
2008,Ohio,11515391
2009,Ohio,11528896
2010,Ohio,11539336
2011,Ohio,11544663
2012,Ohio,11548923
2013,Ohio,11576684
2014,Ohio,11602700
2015,Ohio,11617527
2016,Ohio,11634370
2017,Ohio,11659650
2018,Ohio,11676341
2019,Ohio,11689100
1900,Oklahoma,800000
1901,Oklahoma,916000
1902,Oklahoma,1027000
1903,Oklahoma,1118000
1904,Oklahoma,1200000
1905,Oklahoma,1277000
1906,Oklahoma,1349000
1907,Oklahoma,1414000
1908,Oklahoma,1498000
1909,Oklahoma,1585000
1910,Oklahoma,1671000
1911,Oklahoma,1714000
1912,Oklahoma,1737000
1913,Oklahoma,1777000
1914,Oklahoma,1824000
1915,Oklahoma,1860000
1916,Oklahoma,1907000
1917,Oklahoma,1960000
1918,Oklahoma,1969000
1919,Oklahoma,2003000
1920,Oklahoma,2055000
1921,Oklahoma,2108000
1922,Oklahoma,2140000
1923,Oklahoma,2159000
1924,Oklahoma,2179000
1925,Oklahoma,2216000
1926,Oklahoma,2256000
1927,Oklahoma,2306000
1928,Oklahoma,2344000
1929,Oklahoma,2372000
1930,Oklahoma,2401000
1931,Oklahoma,2403000
1932,Oklahoma,2394000
1933,Oklahoma,2392000
1934,Oklahoma,2391000
1935,Oklahoma,2386000
1936,Oklahoma,2365000
1937,Oklahoma,2334000
1938,Oklahoma,2324000
1939,Oklahoma,2333000
1940,Oklahoma,2325000
1941,Oklahoma,2262000
1942,Oklahoma,2215000
1943,Oklahoma,2205000
1944,Oklahoma,2043000
1945,Oklahoma,2028000
1946,Oklahoma,2128000
1947,Oklahoma,2133000
1948,Oklahoma,2089000
1949,Oklahoma,2105000
1950,Oklahoma,2229000
1951,Oklahoma,2210000
1952,Oklahoma,2219000
1953,Oklahoma,2182000
1954,Oklahoma,2209000
1955,Oklahoma,2250000
1956,Oklahoma,2273000
1957,Oklahoma,2282000
1958,Oklahoma,2267000
1959,Oklahoma,2289000
1960,Oklahoma,2336000
1961,Oklahoma,2380000
1962,Oklahoma,2427000
1963,Oklahoma,2439000
1964,Oklahoma,2446000
1965,Oklahoma,2440000
1966,Oklahoma,2454000
1967,Oklahoma,2489000
1968,Oklahoma,2503000
1969,Oklahoma,2535000
1970,Oklahoma,2559463
1971,Oklahoma,2618601
1972,Oklahoma,2658646
1973,Oklahoma,2695931
1974,Oklahoma,2734768
1975,Oklahoma,2774683
1976,Oklahoma,2826815
1977,Oklahoma,2870014
1978,Oklahoma,2917336
1979,Oklahoma,2975310
1980,Oklahoma,3040758
1981,Oklahoma,3096164
1982,Oklahoma,3206123
1983,Oklahoma,3290402
1984,Oklahoma,3285533
1985,Oklahoma,3271332
1986,Oklahoma,3252735
1987,Oklahoma,3210122
1988,Oklahoma,3167057
1989,Oklahoma,3150307
1990,Oklahoma,3147105
1991,Oklahoma,3166471
1992,Oklahoma,3204174
1993,Oklahoma,3228829
1994,Oklahoma,3246119
1995,Oklahoma,3265547
1996,Oklahoma,3289634
1997,Oklahoma,3314259
1998,Oklahoma,3339478
1999,Oklahoma,3358044
2000,Oklahoma,3454365
2001,Oklahoma,3467100
2002,Oklahoma,3489080
2003,Oklahoma,3504892
2004,Oklahoma,3525233
2005,Oklahoma,3548597
2006,Oklahoma,3594090
2007,Oklahoma,3634349
2008,Oklahoma,3668976
2009,Oklahoma,3717572
2010,Oklahoma,3759944
2011,Oklahoma,3788379
2012,Oklahoma,3818814
2013,Oklahoma,3853214
2014,Oklahoma,3878187
2015,Oklahoma,3909500
2016,Oklahoma,3926331
2017,Oklahoma,3931316
2018,Oklahoma,3940235
2019,Oklahoma,3956971
1900,Oregon,415000
1901,Oregon,434000
1902,Oregon,454000
1903,Oregon,479000
1904,Oregon,504000
1905,Oregon,530000
1906,Oregon,555000
1907,Oregon,580000
1908,Oregon,610000
1909,Oregon,643000
1910,Oregon,677000
1911,Oregon,692000
1912,Oregon,706000
1913,Oregon,722000
1914,Oregon,736000
1915,Oregon,745000
1916,Oregon,756000
1917,Oregon,763000
1918,Oregon,763000
1919,Oregon,774000
1920,Oregon,788000
1921,Oregon,798000
1922,Oregon,814000
1923,Oregon,833000
1924,Oregon,856000
1925,Oregon,883000
1926,Oregon,905000
1927,Oregon,925000
1928,Oregon,936000
1929,Oregon,947000
1930,Oregon,956000
1931,Oregon,966000
1932,Oregon,972000
1933,Oregon,978000
1934,Oregon,985000
1935,Oregon,1001000
1936,Oregon,1025000
1937,Oregon,1048000
1938,Oregon,1067000
1939,Oregon,1081000
1940,Oregon,1086000
1941,Oregon,1071000
1942,Oregon,1107000
1943,Oregon,1221000
1944,Oregon,1233000
1945,Oregon,1250000
1946,Oregon,1338000
1947,Oregon,1361000
1948,Oregon,1405000
1949,Oregon,1431000
1950,Oregon,1532000
1951,Oregon,1556000
1952,Oregon,1582000
1953,Oregon,1601000
1954,Oregon,1626000
1955,Oregon,1659000
1956,Oregon,1698000
1957,Oregon,1712000
1958,Oregon,1718000
1959,Oregon,1746000
1960,Oregon,1772000
1961,Oregon,1787000
1962,Oregon,1818000
1963,Oregon,1853000
1964,Oregon,1888000
1965,Oregon,1937000
1966,Oregon,1969000
1967,Oregon,1979000
1968,Oregon,2004000
1969,Oregon,2062000
1970,Oregon,2091533
1971,Oregon,2151022
1972,Oregon,2197297
1973,Oregon,2241932
1974,Oregon,2285013
1975,Oregon,2329661
1976,Oregon,2378262
1977,Oregon,2446673
1978,Oregon,2518298
1979,Oregon,2588012
1980,Oregon,2641218
1981,Oregon,2667982
1982,Oregon,2664922
1983,Oregon,2653066
1984,Oregon,2666588
1985,Oregon,2672652
1986,Oregon,2683528
1987,Oregon,2700991
1988,Oregon,2741297
1989,Oregon,2790575
1990,Oregon,2858547
1991,Oregon,2918745
1992,Oregon,2973934
1993,Oregon,3034490
1994,Oregon,3087142
1995,Oregon,3141421
1996,Oregon,3195087
1997,Oregon,3243254
1998,Oregon,3282055
1999,Oregon,3316154
2000,Oregon,3429708
2001,Oregon,3467937
2002,Oregon,3513424
2003,Oregon,3547376
2004,Oregon,3569463
2005,Oregon,3613202
2006,Oregon,3670883
2007,Oregon,3722417
2008,Oregon,3768748
2009,Oregon,3808600
2010,Oregon,3837491
2011,Oregon,3872036
2012,Oregon,3899001
2013,Oregon,3922468
2014,Oregon,3963244
2015,Oregon,4015792
2016,Oregon,4089976
2017,Oregon,4143625
2018,Oregon,4181886
2019,Oregon,4217737
1900,Pennsylvania,6313000
1901,Pennsylvania,6439000
1902,Pennsylvania,6567000
1903,Pennsylvania,6699000
1904,Pennsylvania,6833000
1905,Pennsylvania,6970000
1906,Pennsylvania,7110000
1907,Pennsylvania,7253000
1908,Pennsylvania,7398000
1909,Pennsylvania,7546000
1910,Pennsylvania,7706000
1911,Pennsylvania,7850000
1912,Pennsylvania,7986000
1913,Pennsylvania,8139000
1914,Pennsylvania,8276000
1915,Pennsylvania,8362000
1916,Pennsylvania,8463000
1917,Pennsylvania,8578000
1918,Pennsylvania,8524000
1919,Pennsylvania,8643000
1920,Pennsylvania,8740000
1921,Pennsylvania,8900000
1922,Pennsylvania,8982000
1923,Pennsylvania,9148000
1924,Pennsylvania,9383000
1925,Pennsylvania,9478000
1926,Pennsylvania,9594000
1927,Pennsylvania,9745000
1928,Pennsylvania,9802000
1929,Pennsylvania,9723000
1930,Pennsylvania,9649000
1931,Pennsylvania,9707000
1932,Pennsylvania,9764000
1933,Pennsylvania,9784000
1934,Pennsylvania,9795000
1935,Pennsylvania,9774000
1936,Pennsylvania,9767000
1937,Pennsylvania,9790000
1938,Pennsylvania,9952000
1939,Pennsylvania,9901000
1940,Pennsylvania,9896000
1941,Pennsylvania,9911000
1942,Pennsylvania,9704000
1943,Pennsylvania,9444000
1944,Pennsylvania,9214000
1945,Pennsylvania,9143000
1946,Pennsylvania,9866000
1947,Pennsylvania,10196000
1948,Pennsylvania,10287000
1949,Pennsylvania,10390000
1950,Pennsylvania,10507000
1951,Pennsylvania,10461000
1952,Pennsylvania,10503000
1953,Pennsylvania,10662000
1954,Pennsylvania,10817000
1955,Pennsylvania,10939000
1956,Pennsylvania,10972000
1957,Pennsylvania,10954000
1958,Pennsylvania,11058000
1959,Pennsylvania,11234000
1960,Pennsylvania,11329000
1961,Pennsylvania,11392000
1962,Pennsylvania,11355000
1963,Pennsylvania,11424000
1964,Pennsylvania,11519000
1965,Pennsylvania,11620000
1966,Pennsylvania,11664000
1967,Pennsylvania,11681000
1968,Pennsylvania,11741000
1969,Pennsylvania,11741000
1970,Pennsylvania,11800766
1971,Pennsylvania,11886400
1972,Pennsylvania,11908233
1973,Pennsylvania,11890527
1974,Pennsylvania,11870884
1975,Pennsylvania,11906095
1976,Pennsylvania,11897378
1977,Pennsylvania,11893591
1978,Pennsylvania,11879396
1979,Pennsylvania,11887975
1980,Pennsylvania,11868305
1981,Pennsylvania,11858567
1982,Pennsylvania,11845146
1983,Pennsylvania,11837723
1984,Pennsylvania,11815172
1985,Pennsylvania,11770862
1986,Pennsylvania,11782752
1987,Pennsylvania,11810866
1988,Pennsylvania,11845752
1989,Pennsylvania,11865996
1990,Pennsylvania,11895604
1991,Pennsylvania,11943160
1992,Pennsylvania,11980819
1993,Pennsylvania,12022128
1994,Pennsylvania,12042545
1995,Pennsylvania,12044780
1996,Pennsylvania,12038008
1997,Pennsylvania,12015888
1998,Pennsylvania,12002329
1999,Pennsylvania,11994016
2000,Pennsylvania,12284173
2001,Pennsylvania,12298970
2002,Pennsylvania,12331031
2003,Pennsylvania,12374658
2004,Pennsylvania,12410722
2005,Pennsylvania,12449990
2006,Pennsylvania,12510809
2007,Pennsylvania,12563937
2008,Pennsylvania,12612285
2009,Pennsylvania,12666858
2010,Pennsylvania,12711160
2011,Pennsylvania,12745815
2012,Pennsylvania,12767118
2013,Pennsylvania,12776309
2014,Pennsylvania,12788313
2015,Pennsylvania,12784826
2016,Pennsylvania,12782275
2017,Pennsylvania,12787641
2018,Pennsylvania,12800922
2019,Pennsylvania,12801989
1900,Rhode Island,430000
1901,Rhode Island,441000
1902,Rhode Island,450000
1903,Rhode Island,460000
1904,Rhode Island,471000
1905,Rhode Island,481000
1906,Rhode Island,492000
1907,Rhode Island,505000
1908,Rhode Island,519000
1909,Rhode Island,532000
1910,Rhode Island,545000
1911,Rhode Island,556000
1912,Rhode Island,567000
1913,Rhode Island,578000
1914,Rhode Island,589000
1915,Rhode Island,597000
1916,Rhode Island,598000
1917,Rhode Island,606000
1918,Rhode Island,604000
1919,Rhode Island,603000
1920,Rhode Island,613000
1921,Rhode Island,629000
1922,Rhode Island,644000
1923,Rhode Island,656000
1924,Rhode Island,669000
1925,Rhode Island,680000
1926,Rhode Island,681000
1927,Rhode Island,677000
1928,Rhode Island,678000
1929,Rhode Island,684000
1930,Rhode Island,686000
1931,Rhode Island,681000
1932,Rhode Island,677000
1933,Rhode Island,675000
1934,Rhode Island,675000
1935,Rhode Island,678000
1936,Rhode Island,686000
1937,Rhode Island,694000
1938,Rhode Island,694000
1939,Rhode Island,701000
1940,Rhode Island,719000
1941,Rhode Island,731000
1942,Rhode Island,748000
1943,Rhode Island,760000
1944,Rhode Island,795000
1945,Rhode Island,776000
1946,Rhode Island,770000
1947,Rhode Island,776000
1948,Rhode Island,787000
1949,Rhode Island,801000
1950,Rhode Island,786000
1951,Rhode Island,784000
1952,Rhode Island,802000
1953,Rhode Island,815000
1954,Rhode Island,816000
1955,Rhode Island,823000
1956,Rhode Island,840000
1957,Rhode Island,851000
1958,Rhode Island,858000
1959,Rhode Island,857000
1960,Rhode Island,855000
1961,Rhode Island,858000
1962,Rhode Island,871000
1963,Rhode Island,876000
